# 中华人民共和国民事诉讼法
# 来源: LLM生成骨架(兜底4)
# 生成时间: 2026-08-11 12:20:17

第一条 为了保护当事人的合法权益，保证人民法院查明事实、分清是非、正确适用法律、及时审理民事案件，根据宪法，制定本法。
第二条 凡在中华人民共和国领域内进行民事诉讼，必须遵守本法。
第三条 民事诉讼当事人有平等的诉讼权利。人民法院对当事人在适用法律上一律平等。
第四条 当事人有权进行辩论。
第五条 当事人有权在法律规定的范围内处分自己的民事权利和诉讼权利。
第六条 人民法院审理民事案件，应当根据自愿和合法的原则进行调解。
第七条 人民法院审理民事案件，依照法律规定实行合议、回避、公开审判和两审终审制度。
第八条 基层人民法院管辖第一审民事案件，但本法另有规定的除外。
第九条 中级人民法院管辖下列第一审民事案件：（一）重大涉外案件；（二）在本辖区有重大影响的案件；（三）最高人民法院确定由中级人民法院管辖的案件。
第十条 高级人民法院管辖在本辖区有重大影响的第一审民事案件。
第十一条 最高人民法院管辖下列第一审民事案件：（一）在全国有重大影响的案件；（二）认为应当由本院审理的案件。
第十二条 对公民提起的民事诉讼，由被告住所地人民法院管辖；被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。
第十三条 因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。
第十四条 因侵权行为提起的诉讼，由侵权行为地或者被告住所地人民法院管辖。
第十五条 合同或者其他财产权益纠纷的当事人可以书面协议选择与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。
第十六条 下列案件，由本条规定的人民法院专属管辖：（一）因不动产纠纷提起的诉讼，由不动产所在地人民法院管辖；（二）因港口作业中发生纠纷提起的诉讼，由港口所在地人民法院管辖；（三）因继承遗产纠纷提起的诉讼，由被继承人死亡时住所地或者主要遗产所在地人民法院管辖。
第十七条 两个以上人民法院都有管辖权的诉讼，原告可以向其中一个人民法院起诉；原告向两个以上有管辖权的人民法院起诉的，由最先立案的人民法院管辖。
第十八条 人民法院发现受理的案件不属于本院管辖的，应当移送有管辖权的人民法院，受移送的人民法院应当受理。
第十九条 有管辖权的人民法院由于特殊原因不能行使管辖权的，由上级人民法院指定管辖。人民法院之间因管辖权发生争议，协商解决不了的，报请它们的共同上级人民法院指定管辖。
第二十条 当事人对管辖权有异议的，应当在提交答辩状期间提出。人民法院应当审查，异议成立的，裁定移送；异议不成立的，裁定驳回。
第二十一条 审判人员有下列情形之一的，应当自行回避，当事人有权申请回避：（一）是本案当事人或者当事人、诉讼代理人近亲属的；（二）与本案有利害关系的；（三）与本案当事人、诉讼代理人有其他关系，可能影响对案件公正审理的。
第二十二条 公民、法人和其他组织可以作为民事诉讼的当事人。法人由其法定代表人进行诉讼。其他组织由其主要负责人进行诉讼。
第二十三条 当事人对自己提出的主张，有责任提供证据。当事人及其诉讼代理人因客观原因不能自行收集的证据，或者人民法院认为审理案件需要的证据，人民法院应当调查收集。
第二十四条 人民法院对于可能因当事人一方的行为或者其他原因，使判决难以执行或者造成当事人其他损害的案件，根据对方当事人的申请，可以裁定对其财产进行保全、责令其作出一定行为或者禁止其作出一定行为；当事人没有提出申请的，人民法院在必要时也可以裁定采取保全措施。
第二十五条 起诉必须符合下列条件：（一）原告是与本案有直接利害关系的公民、法人和其他组织；（二）有明确的被告；（三）有具体的诉讼请求和事实、理由；（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。
第二十六条 人民法院审理民事案件，除涉及国家秘密、个人隐私或者法律另有规定的以外，应当公开进行。
第二十七条 基层人民法院和它派出的法庭审理事实清楚、权利义务关系明确、争议不大的简单的民事案件，适用简易程序。
第二十八条 当事人不服地方人民法院第一审判决的，有权在判决书送达之日起十五日内向上一级人民法院提起上诉。当事人不服地方人民法院第一审裁定的，有权在裁定书送达之日起十日内向上一级人民法院提起上诉。
第二十九条 各级人民法院院长对本院已经发生法律效力的判决、裁定、调解书，发现确有错误，认为需要再审的，应当提交审判委员会讨论决定。最高人民法院对地方各级人民法院已经发生法律效力的判决、裁定、调解书，上级人民法院对下级人民法院已经发生法律效力的判决、裁定、调解书，发现确有错误的，有权提审或者指令下级人民法院再审。
第三十条 发生法律效力的民事判决、裁定，以及刑事判决、裁定中的财产部分，由第一审人民法院或者与第一审人民法院同级的被执行的财产所在地人民法院执行。
