# 中华人民共和国公司法
# 来源: LLM生成骨架(兜底4)
# 生成时间: 2026-08-11 12:21:20

第一条 为了规范公司的组织和行为，保护公司、股东、职工和债权人的合法权益，完善中国特色现代企业制度，弘扬企业家精神，维护社会经济秩序，促进社会主义市场经济的发展，根据宪法，制定本法。
第二条 本法所称公司，是指依照本法在中华人民共和国境内设立的有限责任公司和股份有限公司。
第三条 公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。有限责任公司的股东以其认缴的出资额为限对公司承担责任；股份有限公司的股东以其认购的股份为限对公司承担责任。
第四条 公司股东依法享有资产收益、参与重大决策和选择管理者等权利。
第五条 设立公司必须依法制定公司章程。公司章程对公司、股东、董事、监事、高级管理人员具有约束力。
第六条 有限责任公司注册资本为在公司登记机关登记的全体股东认缴的出资额。全体股东认缴的出资额由股东按照公司章程的规定自公司成立之日起五年内缴足。
第七条 股东可以用货币出资，也可以用实物、知识产权、土地使用权、股权、债权等可以用货币估价并可以依法转让的非货币财产作价出资；但是，法律、行政法规规定不得作为出资的财产除外。
第八条 股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东未按期足额缴纳出资的，除应当向公司足额缴纳外，还应当对给公司造成的损失承担赔偿责任。
第九条 有限责任公司股东会由全体股东组成。股东会是公司的权力机构，依照本法行使职权。
第十条 股东会行使下列职权：选举和更换董事、监事，决定有关董事、监事的报酬事项；审议批准董事会的报告；审议批准监事会的报告；审议批准公司的利润分配方案和弥补亏损方案；对公司增加或者减少注册资本作出决议；对发行公司债券作出决议；对公司合并、分立、解散、清算或者变更公司形式作出决议；修改公司章程；公司章程规定的其他职权。
第十一条 有限责任公司设董事会，其成员为三人以上。董事会是公司的执行机构，对股东会负责。规模较小或者股东人数较少的有限责任公司，可以不设董事会，设一名董事。
第十二条 董事会行使下列职权：召集股东会会议，并向股东会报告工作；执行股东会的决议；决定公司的经营计划和投资方案；制订公司的年度财务预算方案、决算方案；制订公司的利润分配方案和弥补亏损方案；制订公司增加或者减少注册资本以及发行公司债券的方案；制订公司合并、分立、解散或者变更公司形式的方案；决定公司内部管理机构的设置；决定聘任或者解聘公司经理及其报酬事项；制定公司的基本管理制度；公司章程规定或者股东会授予的其他职权。
第十三条 有限责任公司可以设监事会，其成员为三人以上。监事会是对公司董事、高级管理人员执行职务行为进行监督的机构。规模较小或者股东人数较少的有限责任公司，可以不设监事会，设一名监事。
第十四条 股东有权查阅、复制公司章程、股东名册、股东会会议记录、董事会会议决议、监事会会议决议、财务会计报告和会计账簿。股东要求查阅公司会计账簿的，应当向公司提出书面请求，说明目的。公司有合理根据认为股东查阅会计账簿有不正当目的，可能损害公司合法利益的，可以拒绝提供查阅。
第十五条 公司分配当年税后利润时，应当提取利润的百分之十列入公司法定公积金。公司弥补亏损和提取公积金后所余税后利润，有限责任公司按照股东实缴的出资比例分配利润，全体股东约定不按照出资比例分配利润的除外。
第十六条 公司股东会、董事会决议内容违反法律、行政法规的无效。股东会、董事会会议的召集程序、表决方式违反法律、行政法规或者公司章程，或者决议内容违反公司章程的，股东可以自决议作出之日起六十日内，请求人民法院撤销。
第十七条 公司股东滥用公司法人独立地位和股东有限责任，逃避债务，严重损害公司债权人利益的，应当对公司债务承担连带责任。股东利用其控制的两个以上公司实施前款规定行为的，各公司应当对任一公司的债务承担连带责任。
第十八条 董事、监事、高级管理人员应当遵守法律、行政法规和公司章程，对公司负有忠实义务和勤勉义务。董事、高级管理人员不得有下列行为：挪用公司资金；将公司资金以其个人名义或者以其他个人名义开立账户存储；违反公司章程的规定，未经股东会或者董事会同意，将公司资金借贷给他人或者以公司财产为他人提供担保；违反公司章程的规定或者未经股东会同意，与本公司订立合同或者进行交易；未经股东会同意，利用职务便利为自己或者他人谋取属于公司的商业机会，自营或者为他人经营与所任职公司同类的业务；擅自披露公司秘密。
第十九条 董事、高级管理人员执行职务违反法律、行政法规或者公司章程的规定，给公司造成损失的，应当承担赔偿责任。有限责任公司的股东可以书面请求监事会向人民法院提起诉讼；监事有前述情形的，股东可以书面请求董事会向人民法院提起诉讼。监事会或者董事会收到请求后拒绝提起诉讼，或者自收到请求之日起三十日内未提起诉讼，或者情况紧急的，股东有权为了公司的利益以自己的名义直接向人民法院提起诉讼。
第二十条 公司合并可以采取吸收合并或者新设合并。公司合并应当由合并各方签订合并协议，并编制资产负债表及财产清单。公司应当自作出合并决议之日起十日内通知债权人，并于三十日内在报纸上或者国家企业信用信息公示系统公告。债权人可以要求公司清偿债务或者提供相应的担保。
第二十一条 公司需要减少注册资本时，必须编制资产负债表及财产清单。公司应当自作出减少注册资本决议之日起十日内通知债权人，并于三十日内在报纸上或者国家企业信用信息公示系统公告。债权人有权要求公司清偿债务或者提供相应的担保。
第二十二条 公司因下列原因解散：公司章程规定的营业期限届满或者公司章程规定的其他解散事由出现；股东会决议解散；因公司合并或者分立需要解散；依法被吊销营业执照、责令关闭或者被撤销；人民法院依照本法规定予以解散。
第二十三条 公司解散的，董事为公司清算义务人，应当在解散事由出现之日起十五日内组成清算组进行清算。清算组由董事组成，但是公司章程另有规定或者股东会决议另选他人的除外。清算义务人未及时履行清算义务，给公司或者债权人造成损失的，应当承担赔偿责任。
第二十四条 股份有限公司的设立，可以采取发起设立或者募集设立的方式。设立股份有限公司，应当有一人以上二百人以下为发起人。股份有限公司的注册资本为在公司登记机关登记的全体发起人认购的股本总额。
第二十五条 股份有限公司股东会、董事会、监事会的职权和组织规则，参照适用本法关于有限责任公司的相关规定。股份有限公司设董事会，其成员为三人以上。股份有限公司设监事会，其成员为三人以上。
第二十六条 上市公司应当设独立董事，具体办法由国务院证券监督管理机构规定。上市公司董事会应当设置审计委员会，审计委员会成员由董事组成，且不得少于三人，其中过半数的成员不得在公司担任除董事以外的其他职务。
第二十七条 公司债券可以公开发行，也可以非公开发行。公司发行债券应当符合法定条件，并依法报经国务院证券监督管理机构或者国务院授权的部门注册。
第二十八条 公司应当依照法律、行政法规和国务院财政部门的规定建立本公司的财务、会计制度。公司应当在每一会计年度终了时编制财务会计报告，并依法经会计师事务所审计。
第二十九条 公司违反本法规定，虚报注册资本、提交虚假材料或者采取其他欺诈手段隐瞒重要事实取得公司登记的，由公司登记机关责令改正，并处以罚款；情节严重的，吊销营业执照。公司发起人、股东虚假出资，未交付或者未按期交付作为出资的货币或者非货币财产的，由公司登记机关责令改正，并处以罚款。
