# 中华人民共和国个人信息保护法
# 来源: LLM生成骨架(兜底4)
# 生成时间: 2026-08-11 12:26:07

第三条 个人信息的处理包括个人信息的收集、存储、使用、加工、传输、提供、公开、删除等。
第四条 个人信息，是指以电子或者其他方式记录的与已识别或者可识别的自然人有关的各种信息，不包括匿名化处理后的信息。
第五条 处理个人信息应当遵循合法、正当、必要和诚信原则，不得通过误导、欺诈、胁迫等方式处理。
第六条 处理个人信息应当具有明确、合理的目的，并应当与处理目的直接相关，采取对个人权益影响最小的方式。收集个人信息，应当限于实现处理目的的最小范围，不得过度收集。
第七条 处理个人信息应当遵循公开、透明原则，公开个人信息处理规则，明示处理的目的、方式、范围等。
第十三条 符合下列情形之一的，个人信息处理者方可处理个人信息：（一）取得个人同意；（二）为订立、履行合同所必需；（三）为履行法定职责或法定义务；（四）为应对突发公共卫生事件或紧急情况；（五）为公共利益实施新闻报道等；（六）在合理范围内处理已公开信息；（七）法律、行政法规规定的其他情形。其中，同意是最重要的合法性基础。
第十四条 同意应当由个人在充分知情的前提下自愿、明确作出。法律、行政法规规定处理敏感个人信息应当取得单独同意的，从其规定。个人信息的处理目的、处理方式和处理的个人信息种类发生变更的，应当重新取得同意。
第十五条 个人有权撤回其同意，撤回不影响此前基于同意已进行的处理。个人信息处理者应当提供便捷的撤回方式。
第十六条 个人信息处理者不得以个人不同意处理其个人信息或者撤回同意为由，拒绝提供产品或者服务；处理个人信息属于提供产品或者服务所必需的除外。
第十七条 个人信息处理者应当在处理前告知下列事项：处理者名称、联系方式；处理目的、方式、种类；保存期限；个人行使权利的方式；法律、行政法规规定应当告知的其他事项。告知应当显著、清晰。
第十八条 法律、行政法规规定应当保密，或者告知将妨碍国家机关履行法定职责的，可以不告知。紧急情况为保护生命健康无法及时告知的，事后应当告知。
第二十条 两个以上个人信息处理者共同决定处理目的和方式的，应当约定各自的权利义务，并承担连带责任。
第二十一条 委托处理个人信息的，应当约定目的、期限、方式、种类、保护措施等，受托人应当协助委托人履行义务，不得擅自转委托。
第二十三条 向其他个人信息处理者提供个人信息的，应当告知接收方名称、联系方式、处理目的、方式、种类，并取得个人单独同意。接收方变更处理目的的，应当重新取得同意。
第二十四条 利用个人信息进行自动化决策，应当保证决策的透明度和结果公平、公正，不得对个人在交易价格等条件上实行不合理的差别待遇。通过自动化决策方式向个人进行信息推送、商业营销，应当同时提供不针对其个人特征的选项。个人有权拒绝仅通过自动化决策的方式作出决定。
