# 中华人民共和国劳动合同法
# 来源: LLM生成骨架(兜底4)
# 生成时间: 2026-08-11 12:18:09

第二条 在中华人民共和国境内的企业、个体经济组织、民办非企业单位等组织与劳动者建立劳动关系，订立、履行、变更、解除或者终止劳动合同，适用本法。国家机关、事业单位、社会团体和与其建立劳动关系的劳动者，依照本法执行。
第三条 订立劳动合同，应当遵循合法、公平、平等自愿、协商一致、诚实信用的原则。依法订立的劳动合同具有约束力，用人单位与劳动者应当履行劳动合同约定的义务。
第十条 建立劳动关系，应当订立书面劳动合同。已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立。用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。
第十二条 劳动合同分为固定期限劳动合同、无固定期限劳动合同和以完成一定工作任务为期限的劳动合同。
第十四条 无固定期限劳动合同是指用人单位与劳动者约定无确定终止时间的劳动合同。劳动者在该用人单位连续工作满十年等情形下，劳动者提出或者同意续订、订立劳动合同的，除劳动者提出订立固定期限劳动合同外，应当订立无固定期限劳动合同。用人单位自用工之日起满一年不与劳动者订立书面劳动合同的，视为已订立无固定期限劳动合同。
第十九条 劳动合同期限三个月以上不满一年的，试用期不得超过一个月；一年以上不满三年的，试用期不得超过二个月；三年以上固定期限和无固定期限的劳动合同，试用期不得超过六个月。同一用人单位与同一劳动者只能约定一次试用期。试用期包含在劳动合同期限内。
第二十二条 用人单位为劳动者提供专项培训费用，进行专业技术培训的，可以与该劳动者订立协议，约定服务期。劳动者违反服务期约定的，应当按照约定向用人单位支付违约金，但违约金不得超过用人单位提供的培训费用，且不得超过服务期尚未履行部分所应分摊的培训费用。
第二十三条 用人单位与劳动者可以在劳动合同中约定保守商业秘密和知识产权相关保密事项。对负有保密义务的劳动者，可以约定竞业限制条款，并在解除或终止劳动合同后按月给予经济补偿。劳动者违反竞业限制约定的，应当按照约定支付违约金。
第二十五条 除本法第二十二条和第二十三条规定的情形外，用人单位不得与劳动者约定由劳动者承担违约金。
第三十六条 用人单位与劳动者协商一致，可以解除劳动合同。
第三十七条 劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。
第三十八条 用人单位有下列情形之一的，劳动者可以解除劳动合同：未按照劳动合同约定提供劳动保护或劳动条件、未及时足额支付劳动报酬、未依法缴纳社会保险费、规章制度违法损害权益、因欺诈胁迫等致使劳动合同无效等。用人单位以暴力、威胁或非法限制人身自由强迫劳动，或违章指挥强令冒险作业危及人身安全的，劳动者可以立即解除，不需事先告知。
第三十九条 劳动者有下列情形之一的，用人单位可以解除劳动合同：在试用期间被证明不符合录用条件、严重违反规章制度、严重失职营私舞弊造成重大损害、同时与其他单位建立劳动关系严重影响工作且拒不改正、因欺诈致使劳动合同无效、被依法追究刑事责任。
第四十条 有下列情形之一的，用人单位提前三十日以书面形式通知劳动者本人或者额外支付一个月工资后，可以解除劳动合同：劳动者患病或非因工负伤医疗期满后不能从事原工作也不能从事另行安排的工作、不能胜任工作经培训或调岗仍不能胜任、客观情况重大变化致使合同无法履行且协商不成。
第四十一条 需要裁减人员二十人以上或不足二十人但占企业职工总数百分之十以上的，用人单位提前三十日向工会或全体职工说明情况听取意见后，将裁减人员方案向劳动行政部门报告，可以裁减人员。裁减人员时应当优先留用较长期限或无固定期限劳动合同人员及家庭无其他就业人员等。六个月内重新招用人员的，应通知被裁减人员并优先招用。
第四十二条 劳动者有下列情形之一的，用人单位不得依照本法第四十条、第四十一条的规定解除劳动合同：从事接触职业病危害作业未进行离岗前职业健康检查或疑似职业病在诊断观察期间、在本单位患职业病或因工负伤丧失或部分丧失劳动能力、患病或非因工负伤在医疗期内、女职工在孕期产期哺乳期、在本单位连续工作满十五年且距法定退休年龄不足五年、法律行政法规规定的其他情形。
第四十四条 有下列情形之一的，劳动合同终止：劳动合同期满、劳动者开始依法享受基本养老保险待遇、劳动者死亡或被宣告死亡或失踪、用人单位被宣告破产、被吊销营业执照责令关闭撤销或决定提前解散、法律行政法规规定的其他情形。
第四十六条 有下列情形之一的，用人单位应当向劳动者支付经济补偿：劳动者依照第三十八条解除劳动合同、用人单位依照第三十六条提出解除并与劳动者协商一致解除、用人单位依照第四十条解除、用人单位依照第四十一条第一款解除、除用人单位维持或提高条件续订而劳动者不同意续订外依照第四十四条第一项终止固定期限合同、依照第四十四条第四项或第五项终止合同、法律行政法规规定的其他情形。
第四十七条 经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准支付。六个月以上不满一年的按一年计算，不满六个月的支付半个月工资。劳动者月工资高于本地区上年度职工月平均工资三倍的，按三倍数额支付，且年限最高不超过十二年。月工资指劳动合同解除或终止前十二个月的平均工资。
第四十八条 用人单位违反本法规定解除或终止劳动合同，劳动者要求继续履行的，用人单位应当继续履行；劳动者不要求继续履行或合同已不能继续履行的，用人单位应当依照第八十七条规定支付赔偿金。
第五十条 用人单位解除或终止劳动合同时应当出具证明，并在十五日内为劳动者办理档案和社会保险转移手续。劳动者应当按照约定办理工作交接。经济补偿在办结工作交接时支付。解除或终止的合同文本至少保存二年备查。
